Open,Volume
62.14,8493485
62.06,7908223
62.05,4549913
62.19,2447902
62.1,9863771
61.08,10910838
61.63,6587454
61.37,12056103
59.86,9100588
61.75,5967809
61.69,6664947
61.71,8541573
61.13,6623896
60.86,11489255
60.04,13453719
60.55,7842073
60.32,9281835
60.66,9079430
59.2,18099462
58.89,7187470
59.94,6501424
60.26,4510229
60.37,2215418
60.02,4437236
60.46,5477335
61.22,3973912
60.65,4960875
58.77,13521544
58.79,9617778
57.7,8266322
56.88,11140877
57.41,10427021
57.0,10757313
58.39,12375826
59.8,11303603
57.51,11444106
57.07,15246127
58.67,12288950
57.57,22786359
57.84,20888519
57.55,32820193
59.36,13554262
57.92,8898100
58.87,12491252
58.29,11832368
59.78,13224438
60.66,9529094
60.66,9407352
60.88,12254460
59.41,13944926
58.1,24529008
53.09,21457492
53.19,11605059
55.28,11663942
53.89,12106062
55.56,8680205
56.79,11594766
56.7,11955188
57.57,8493953
56.92,9033620
58.63,8390689
58.45,7064095
57.21,10780882
58.46,6262127
59.0,7473374
58.25,7645081
58.77,9183562
59.83,8856392
59.12,8262455
59.14,8344773
58.44,9204624
57.58,8127426
57.78,9734589
57.51,7023785
58.1,15497560
57.58,9053250
58.32,7428469
58.65,8069427
59.47,7734658
59.91,14313578
59.56,6487185
59.0,8246837
59.14,5794495
58.7,5948307
58.56,5791603
58.82,6031947
60.0,5723499
59.77,5622834
59.61,9401126
61.1,5799864
59.88,4994792
60.02,5667253
60.59,8239174
61.5,5064894
61.22,6103358
58.95,17565750
60.32,9898527
60.26,5157368
60.24,5965310
60.69,7228573
61.16,7283570
61.04,5558770
60.9,12799083
59.01,29836693
57.62,8428038
58.05,8839067
57.51,12390767
56.59,9196560
56.02,12133364
56.29,8616189
56.7,7854260
55.98,6508507
56.37,6215367
55.96,6378690
56.32,5976229
56.85,7931185
57.13,8118920
56.57,6870281
56.43,5466041
55.7,9536192
55.38,10530018
54.76,7468496
54.43,7582848
54.88,8430783
54.62,7352054
54.74,7748697
55.2,8126058
55.55,9451708
55.36,6631120
55.5,12043976
54.76,8761577
54.9,8307488
54.71,6649224
54.72,9900917
55.65,7173072
55.5,7623851
55.15,5927854
54.92,8118651
54.79,7928722
55.05,8036517
55.64,7447317
54.9,7968033
55.61,9503017
55.77,7286681
55.52,7445109
55.88,7215411
55.98,5569431
54.05,14654672
54.2,11650798
54.1,8416950
55.42,11103787
56.81,10215193
57.04,8330308
56.81,7274208
56.52,8474188
56.66,6813347
56.92,12655500
56.8,10394366
56.65,10998486
56.8,12183638
57.0,11353599
57.69,8494000
57.59,7614635
56.85,8719772
57.0,9446396
57.62,16151699
57.6,23899275
57.72,10486019
58.58,10106663
58.38,6551777
57.88,6830059
58.18,6914907
58.0,7997576
57.25,7574622
56.46,11484792
56.05,11193748
55.8,9206197
55.97,9129307
55.39,7136683
55.37,6991077
55.75,6191412
55.27,5039757
55.65,5968728
55.25,5751178
55.77,7410631
55.78,5390990
55.46,8981214
54.98,8837808
56.17,7827873
57.0,13200460
57.04,6686589
57.48,6940511
57.22,7026700
56.66,6377668
56.31,6996894
56.3,6230148
56.52,7441463
56.18,6472907
56.19,11428644
56.1,12673626
55.14,10658120
53.92,11002544
54.39,10050215
54.26,6707850
53.96,8080426
